"source","target","label","category","usage","publishStatus","width","height","sourceBytes","outputBytes","duplicateOf"
"data center/ChatGPT Image Jul 1, 2026, 01_20_46 AM (1).png","public/assets/industries/data-centres/zones/data-centre-main-electrical-room.webp","Data centre main electrical room","data-centres","application-map","review-required","1672","941","2149650","118148",""
"data center/ChatGPT Image Jul 1, 2026, 01_20_47 AM (4).png","public/assets/industries/data-centres/zones/data-centre-mechanical-electrical-plant-room.webp","Data centre mechanical and electrical plant room","data-centres","application-map","review-required","1672","941","2380580","151288",""
"data center/ChatGPT Image Jul 1, 2026, 01_20_46 AM (3).png","public/assets/industries/data-centres/zones/data-centre-raised-floor-services.webp","Data centre raised-floor services","data-centres","application-map","review-required","1672","941","2444098","144142",""
"data center/ChatGPT Image Jul 1, 2026, 01_20_47 AM (5).png","public/assets/industries/data-centres/zones/data-centre-rooftop-cooling-electrical.webp","Data centre rooftop cooling and electrical services","data-centres","application-map","review-required","1672","941","2589650","196446",""
"data center/ChatGPT Image Jul 1, 2026, 01_20_46 AM (2).png","public/assets/industries/data-centres/zones/data-centre-server-hall.webp","Data centre server hall","data-centres","application-map","review-required","1672","941","2483871","155526",""
"education/ChatGPT Image Jul 1, 2026, 02_06_46 AM.png","public/assets/industries/education-public-sector/overview/education-public-sector-application-map-overview.webp","Education and public sector application map overview","education-public-sector","application-map","review-required","1606","979","2480998","175772",""
"education/ChatGPT Image Jul 1, 2026, 02_13_34 AM (2).png","public/assets/industries/education-public-sector/zones/education-classroom.webp","Education classroom","education-public-sector","application-map","review-required","1672","941","2244716","118514",""
"education/ChatGPT Image Jul 1, 2026, 02_13_35 AM (6).png","public/assets/industries/education-public-sector/zones/education-ev-charging-area.webp","Education EV charging area","education-public-sector","application-map","review-required","1672","941","2527156","163844",""
"education/ChatGPT Image Jul 1, 2026, 02_13_34 AM (3).png","public/assets/industries/education-public-sector/zones/education-laboratory.webp","Education laboratory","education-public-sector","application-map","review-required","1672","941","2130621","131778",""
"education/ChatGPT Image Jul 1, 2026, 02_13_35 AM (5).png","public/assets/industries/education-public-sector/zones/education-library.webp","Education library","education-public-sector","application-map","review-required","1672","941","2415962","167084",""
"education/ChatGPT Image Jul 1, 2026, 02_13_34 AM (1).png","public/assets/industries/education-public-sector/zones/education-main-electrical-room.webp","Education main electrical room","education-public-sector","application-map","review-required","1672","941","2308983","127940",""
"education/ChatGPT Image Jul 1, 2026, 02_13_35 AM (7).png","public/assets/industries/education-public-sector/zones/education-rooftop-plant.webp","Education rooftop plant","education-public-sector","application-map","review-required","1672","941","2522136","162894",""
"education/ChatGPT Image Jul 1, 2026, 02_13_35 AM (4).png","public/assets/industries/education-public-sector/zones/education-sports-hall.webp","Education sports hall","education-public-sector","application-map","review-required","1672","941","2491645","155694",""
"healtcare/ChatGPT Image Jul 1, 2026, 01_56_50 AM.png","public/assets/industries/healthcare/overview/healthcare-application-map-overview.webp","Healthcare application map overview","healthcare","application-map","review-required","1672","941","2437232","174608",""
"healtcare/ChatGPT Image Jul 1, 2026, 02_01_34 AM (6).png","public/assets/industries/healthcare/zones/healthcare-ambulance-bay-external-services.webp","Healthcare ambulance bay and external services","healthcare","application-map","review-required","1672","941","2278555","128714",""
"healtcare/ChatGPT Image Jul 1, 2026, 02_01_32 AM (1).png","public/assets/industries/healthcare/zones/healthcare-main-electrical-room.webp","Healthcare main electrical room","healthcare","application-map","review-required","1672","941","2027161","95482",""
"healtcare/ChatGPT Image Jul 1, 2026, 02_01_33 AM (4).png","public/assets/industries/healthcare/zones/healthcare-medical-equipment-room.webp","Healthcare medical equipment room","healthcare","application-map","review-required","1672","941","2337766","137806",""
"healtcare/ChatGPT Image Jul 1, 2026, 02_01_33 AM (2).png","public/assets/industries/healthcare/zones/healthcare-operating-theatre.webp","Healthcare operating theatre","healthcare","application-map","review-required","1672","941","2203923","109976",""
"healtcare/ChatGPT Image Jul 1, 2026, 02_01_33 AM (3).png","public/assets/industries/healthcare/zones/healthcare-patient-ward.webp","Healthcare patient ward","healthcare","application-map","review-required","1672","941","2013802","93468",""
"healtcare/ChatGPT Image Jul 1, 2026, 02_01_33 AM (5).png","public/assets/industries/healthcare/zones/healthcare-rooftop-plant.webp","Healthcare rooftop plant","healthcare","application-map","review-required","1672","941","2493489","178508",""
"industrial/ChatGPT Image Jul 1, 2026, 01_35_25 AM.png","public/assets/industries/industrial-facilities/overview/industrial-facility-application-map-overview.webp","Industrial facility application map overview","industrial-facilities","application-map","review-required","1580","995","2529457","179952",""
"industrial/ChatGPT Image Jul 1, 2026, 01_41_34 AM (6).png","public/assets/industries/industrial-facilities/zones/industrial-control-room.webp","Industrial control room","industrial-facilities","application-map","review-required","1672","941","2190283","140328",""
